,cos_cluster,js_cluster,wb_cluster
OH_HD_CAM_81,2,2,2
OH_HD_BEL_2,0,0,0
BS_HD_GRO_6,1,1,1
BS_HD_GRO_2,1,1,1
BS_HD_GRO_5,1,1,2
OH_HD_GRO_1,1,1,1
OH_HD_RCB_2,0,1,2
OH_HD_CAM_3,0,0,0
BS_HD_GRO_4,1,1,2
KA_HD_RCB_29,1,0,0
OH_HD_BEL_33,0,1,2
BS_HD_GRO_8,2,2,1
OH_HD_CAM_84,1,0,2
KA_HD_MAR_2,1,1,2
KA_HD_LON_1,0,0,0
OH_HD_BEL_1,0,0,0
OH_HD_RAO_2,0,0,2
KA_HD_MAR_1,2,2,1
BS_HD_GRO_7,2,2,1
BS_HD_GRO_1,1,1,2
OH_HD_CAM_87,1,1,1
OH_HD_WIO_2,0,0,0
KA_HD_RCB_28,1,0,0
KA_HD_WIN_1,1,1,1
OH_HD_RCB_1,2,2,1
OH_HD_WIO_1,0,0,0
OH_HD_RAO_1,1,1,1
KA_HD_RCB_30,1,0,0
KA_HD_LON_2,0,0,0
KA_HD_WIN_2,1,1,2
OH_HD_CAM_2,2,2,1
BS_HD_GRO_10,2,2,1
OH_HD_GRO_2,0,0,2
OH_HD_BEL_38,0,0,0
OH_HD_CAM_86,2,2,1
OH_HD_CAM_82,0,0,2
OH_HD_BEL_39,0,0,0
BS_HD_GRO_3,1,1,1
OH_HD_CAM_85,1,1,1
OH_HD_CAM_80,2,2,2
KA_HD_MAR_5,0,0,0
BS_HD_GRO_9,2,2,1
