subreach_name,cos_cluster,js_cluster,wb_cluster
OH_LD_SMT_11,1,1,1
OH_LD_NBG_1,2,2,2
GR_LD_GR2_3,0,0,0
OH_LD_OLM_8,1,2,2
OH_LD_SMT_13,1,1,1
GR_LD_GR1_1,0,0,0
OH_LD_NBG_7,2,2,2
GR_LD_GR2_8,0,0,0
OH_LD_OLM_7,1,1,1
OH_LD_NBG_11,2,0,0
OH_LD_JTM_10,0,0,0
OH_LD_SMT_14,1,1,1
GR_LD_GR1_11,1,1,1
OH_LD_CAI_3,1,1,1
OH_LD_OLM_11,1,1,1
OH_LD_JTM_13,1,1,1
OH_LD_CAI_2,2,2,2
OH_LD_NBG_5,2,2,2
OH_LD_NBG_6,2,0,2
OH_LD_JTM_4,2,2,2
OH_LD_JTM_14,0,0,0
OH_LD_CAI_1,2,2,2
OH_LD_OLM_10,2,2,2
OH_LD_JTM_11,1,1,1
OH_LD_SMT_10,1,1,1
OH_LD_MCA_6,0,0,0
OH_LD_MCA_1,2,2,1
GR_LD_GR1_9,1,1,1
OH_LD_SMT_8,1,1,1
OH_LD_NBG_10,0,0,0
OH_LD_SMT_12,1,2,2
OH_LD_JTM_12,1,1,1
OH_LD_JTM_7,2,0,0
OH_LD_OLM_5,2,2,2
GR_LD_GR1_5,0,0,0
GR_LD_GR2_5,0,0,0
GR_LD_GR1_3,0,0,0
OH_LD_NBG_12,2,0,0
OH_LD_JTM_2,0,0,0
OH_LD_MKL_1,0,0,0
OH_LD_NBG_8,2,2,2
